token number = 19,	token string = /*** Sample Text of C Program ***/
token number = 10,	token string = #
token number = 1,	token string = include
token number = 11,	token string = "
token number = 1,	token string = defs
token number = 12,	token string = .
token number = 1,	token string = h
token number = 11,	token string = "
token number = 1,	token string = int
token number = 1,	token string = main
token number = 4,	token string = (int argc, char **argv)
token number = 13,	token string = {
token number = 1,	token string = Rectangle
token number = 1,	token string = box
token number = 5,	token string = ;
token number = 1,	token string = double
token number = 1,	token string = area
token number = 5,	token string = ;
token number = 1,	token string = box
token number = 12,	token string = .
token number = 1,	token string = origin
token number = 12,	token string = .
token number = 1,	token string = x
token number = 8,	token string = =
token number = 3,	token string = 200.0
token number = 5,	token string = ;
token number = 1,	token string = box
token number = 12,	token string = .
token number = 1,	token string = origin
token number = 12,	token string = .
token number = 1,	token string = y
token number = 8,	token string = =
token number = 3,	token string = 100.0
token number = 5,	token string = ;
token number = 1,	token string = box
token number = 12,	token string = .
token number = 1,	token string = corner
token number = 12,	token string = .
token number = 1,	token string = x
token number = 8,	token string = =
token number = 3,	token string = 600.0
token number = 5,	token string = ;
token number = 1,	token string = box
token number = 12,	token string = .
token number = 1,	token string = corner
token number = 12,	token string = .
token number = 1,	token string = y
token number = 8,	token string = =
token number = 3,	token string = 400.0
token number = 5,	token string = ;
token number = 1,	token string = area
token number = 8,	token string = =
token number = 1,	token string = sub1
token number = 6,	token string = (
token number = 1,	token string = box
token number = 7,	token string = )
token number = 5,	token string = ;
token number = 1,	token string = printf
token number = 6,	token string = (
token number = 11,	token string = "
token number = 1,	token string = area
token number = 8,	token string = =
token number = 9,	token string = %
token number = 3,	token string = 12.3
token number = 1,	token string = f
token number = 17,	token string = \
token number = 1,	token string = n
token number = 11,	token string = "
token number = 16,	token string = ,
token number = 1,	token string = area
token number = 7,	token string = )
token number = 5,	token string = ;
token number = 1,	token string = area
token number = 8,	token string = =
token number = 1,	token string = sub2
token number = 6,	token string = (
token number = 18,	token string = &
token number = 1,	token string = box
token number = 7,	token string = )
token number = 5,	token string = ;
token number = 1,	token string = printf
token number = 6,	token string = (
token number = 11,	token string = "
token number = 1,	token string = area
token number = 8,	token string = =
token number = 9,	token string = %
token number = 3,	token string = 12.3
token number = 1,	token string = f
token number = 17,	token string = \
token number = 1,	token string = n
token number = 11,	token string = "
token number = 16,	token string = ,
token number = 1,	token string = area
token number = 7,	token string = )
token number = 5,	token string = ;
token number = 1,	token string = area
token number = 8,	token string = =
token number = 1,	token string = sub3
token number = 6,	token string = (
token number = 18,	token string = &
token number = 1,	token string = box
token number = 7,	token string = )
token number = 5,	token string = ;
token number = 1,	token string = printf
token number = 6,	token string = (
token number = 11,	token string = "
token number = 1,	token string = area
token number = 8,	token string = =
token number = 9,	token string = %
token number = 3,	token string = 12.3
token number = 1,	token string = f
token number = 17,	token string = \
token number = 1,	token string = n
token number = 11,	token string = "
token number = 16,	token string = ,
token number = 1,	token string = area
token number = 7,	token string = )
token number = 5,	token string = ;
token number = 1,	token string = return
token number = 6,	token string = (
token number = 1,	token string = EXIT
token number = 15,	token string = _
token number = 1,	token string = SUCCESS
token number = 7,	token string = )
token number = 5,	token string = ;
token number = 14,	token string = }
